"","text","speaker","season","episode","scene","utterance"
"121","Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!","Phoebe Buffay",1,1,3,1
"122","I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.","Ross Geller",1,1,4,1
"123","(Joey and Chandler are finishing assembling the bookcase.)","Scene Directions",1,1,4,2
"124","I'm thinking we've got a bookcase here.","Joey Tribbiani",1,1,4,3
"125","It's a beautiful thing.","Chandler Bing",1,1,4,4
"126","What's this?","Joey Tribbiani",1,1,4,5
"127","I would have to say that is an 'L'-shaped bracket.","Chandler Bing",1,1,4,6
"128","Which goes where?","Joey Tribbiani",1,1,4,7
"129","I have no idea.","Chandler Bing",1,1,4,8
"130","(Joey checks that Ross is not looking and dumps it in a plant.)","Scene Directions",1,1,4,9
"131","Done with the bookcase!","Joey Tribbiani",1,1,4,10
"132","All finished!","Chandler Bing",1,1,4,11
"133","This was Carol's favorite beer. She always drank it out of the can, I should have known.","Ross Geller",1,1,4,12
"134","Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.","Joey Tribbiani",1,1,4,13
"135","Yes, please don't spoil all this fun.","Chandler Bing",1,1,4,14
"136","Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?","Joey Tribbiani",1,1,4,15
"137","You guys.","Ross Geller",1,1,4,16
"138","Oh, God.","Chandler Bing",1,1,4,17
"139","You got screwed.","Joey Tribbiani",1,1,4,18
"140","Oh my God!","Chandler Bing",1,1,4,19
"141","Oh my God!","Monica Geller",1,1,5,1
"142","I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?","Paul the Wine Guy",1,1,5,2
"143","My brother's going through that right now, he's such a mess. How did you get through it?","Monica Geller",1,1,5,3
"144","Well, you might try accidentally breaking something valuable of hers, say her-","Paul the Wine Guy",1,1,5,4
"145","-leg?","Monica Geller",1,1,5,5
"146","That's one way! Me, I- I went for the watch.","Paul the Wine Guy",1,1,5,6
"147","You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.","Monica Geller",1,1,5,7
"148","Ooh, steer clear of you.","Paul the Wine Guy",1,1,5,8
"149","That's right.","Monica Geller",1,1,5,9
"150","Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...","Rachel Green",1,1,6,1
"151","I'm divorced! I'm only 26 and I'm divorced!","Ross Geller",1,1,7,1
"152","Shut up!","Joey Tribbiani",1,1,7,2
"153","You must stop!","Chandler Bing",1,1,7,3
"154","That only took me an hour.","Ross Geller",1,1,7,4
"155","Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!","Chandler Bing",1,1,7,5
